,year,exporter,importer,product,value,quantity,exporter_name,importer_name,product_description
842365,2022,76,50,100610,0.234,        0.250,Brazil,Bangladesh,Cereals: rice in the husk (paddy or rough)
844261,2022,76,56,100610,0.038,        0.010,Brazil,Belgium,Cereals: rice in the husk (paddy or rough)
850945,2022,76,84,100610,0.08,        0.050,Brazil,Belize,Cereals: rice in the husk (paddy or rough)
856124,2022,76,136,100610,0.309,        0.242,Brazil,Cayman Isds,Cereals: rice in the husk (paddy or rough)
860083,2022,76,156,100610,0.799,        0.520,Brazil,China,Cereals: rice in the husk (paddy or rough)
862274,2022,76,170,100610,1.883,        0.360,Brazil,Colombia,Cereals: rice in the husk (paddy or rough)
865777,2022,76,184,100610,0.148,        0.075,Brazil,Cook Isds,Cereals: rice in the husk (paddy or rough)
865955,2022,76,188,100610,50276.222,   152891.207,Brazil,Costa Rica,Cereals: rice in the husk (paddy or rough)
867925,2022,76,191,100610,0.213,        0.150,Brazil,Croatia,Cereals: rice in the husk (paddy or rough)
869257,2022,76,196,100610,2.73,        2.135,Brazil,Cyprus,Cereals: rice in the husk (paddy or rough)
876720,2022,76,222,100610,16125.868,    47710.783,Brazil,El Salvador,Cereals: rice in the husk (paddy or rough)
880465,2022,76,251,100610,1.29,        2.980,Brazil,France,Cereals: rice in the husk (paddy or rough)
887034,2022,76,292,100610,0.068,        0.060,Brazil,Gibraltar,Cereals: rice in the husk (paddy or rough)
887501,2022,76,300,100610,1.364,        0.890,Brazil,Greece,Cereals: rice in the husk (paddy or rough)
888895,2022,76,320,100610,18828.493,    56223.113,Brazil,Guatemala,Cereals: rice in the husk (paddy or rough)
890897,2022,76,328,100610,4.431,       16.400,Brazil,Guyana,Cereals: rice in the husk (paddy or rough)
892205,2022,76,340,100610,17835.787,    53175.900,Brazil,Honduras,Cereals: rice in the husk (paddy or rough)
893650,2022,76,344,100610,5.661,        3.100,Brazil,"China, Hong Kong SAR",Cereals: rice in the husk (paddy or rough)
900305,2022,76,380,100610,0.029,        0.030,Brazil,Italy,Cereals: rice in the husk (paddy or rough)
903499,2022,76,392,100610,0.883,        0.822,Brazil,Japan,Cereals: rice in the husk (paddy or rough)
906886,2022,76,410,100610,0.208,        0.300,Brazil,Rep. of Korea,Cereals: rice in the husk (paddy or rough)
910262,2022,76,430,100610,21.659,       14.143,Brazil,Liberia,Cereals: rice in the husk (paddy or rough)
912632,2022,76,442,100610,0.44,        0.438,Brazil,Luxembourg,Cereals: rice in the husk (paddy or rough)
915445,2022,76,470,100610,3.887,        2.240,Brazil,Malta,Cereals: rice in the husk (paddy or rough)
917352,2022,76,484,100610,153978.936,   453111.134,Brazil,Mexico,Cereals: rice in the husk (paddy or rough)
923510,2022,76,528,100610,2008.403,     6137.587,Brazil,Netherlands,Cereals: rice in the husk (paddy or rough)
930258,2022,76,579,100610,1.392,        0.597,Brazil,Norway,Cereals: rice in the husk (paddy or rough)
931992,2022,76,584,100610,18.999,       11.892,Brazil,Marshall Isds,Cereals: rice in the husk (paddy or rough)
933791,2022,76,586,100610,0.233,        0.100,Brazil,Pakistan,Cereals: rice in the husk (paddy or rough)
934690,2022,76,591,100610,17.558,       11.274,Brazil,Panama,Cereals: rice in the husk (paddy or rough)
937250,2022,76,600,100610,24.04,       38.991,Brazil,Paraguay,Cereals: rice in the husk (paddy or rough)
943388,2022,76,608,100610,0.279,        0.260,Brazil,Philippines,Cereals: rice in the husk (paddy or rough)
945846,2022,76,620,100610,0.995,        0.633,Brazil,Portugal,Cereals: rice in the husk (paddy or rough)
950948,2022,76,670,100610,0.049,        0.025,Brazil,Saint Vincent and the Grenadines,Cereals: rice in the husk (paddy or rough)
954150,2022,76,699,100610,0.014,        0.005,Brazil,India,Cereals: rice in the husk (paddy or rough)
956081,2022,76,702,100610,4.553,        2.687,Brazil,Singapore,Cereals: rice in the husk (paddy or rough)
962533,2022,76,724,100610,0.1,        0.002,Brazil,Spain,Cereals: rice in the husk (paddy or rough)
967073,2022,76,757,100610,139.783,    27439.362,Brazil,Switzerland,Cereals: rice in the husk (paddy or rough)
969014,2022,76,764,100610,2.122,        0.672,Brazil,Thailand,Cereals: rice in the husk (paddy or rough)
977165,2022,76,826,100610,0.251,        0.155,Brazil,United Kingdom,Cereals: rice in the husk (paddy or rough)
979910,2022,76,842,100610,0.063,        0.153,Brazil,USA,Cereals: rice in the husk (paddy or rough)
983655,2022,76,858,100610,179.446,       65.167,Brazil,Uruguay,Cereals: rice in the husk (paddy or rough)
986717,2022,76,862,100610,53381.908,   164770.028,Brazil,Venezuela,Cereals: rice in the husk (paddy or rough)
998127,2022,100,40,100610,0.172,        0.175,Bulgaria,Austria,Cereals: rice in the husk (paddy or rough)
1012370,2022,100,196,100610,1.51,        1.262,Bulgaria,Cyprus,Cereals: rice in the husk (paddy or rough)
1019151,2022,100,246,100610,4.104,        2.220,Bulgaria,Finland,Cereals: rice in the husk (paddy or rough)
1020380,2022,100,251,100610,0.318,        0.240,Bulgaria,France,Cereals: rice in the husk (paddy or rough)
1027518,2022,100,300,100610,84.81,      125.294,Bulgaria,Greece,Cereals: rice in the husk (paddy or rough)
1038290,2022,100,380,100610,4822.461,     8281.498,Bulgaria,Italy,Cereals: rice in the husk (paddy or rough)
1055264,2022,100,528,100610,6.295,        4.172,Bulgaria,Netherlands,Cereals: rice in the husk (paddy or rough)
1067537,2022,100,642,100610,3243.12,     5656.419,Bulgaria,Romania,Cereals: rice in the husk (paddy or rough)
1089517,2022,100,792,100610,3448.724,     7631.734,Bulgaria,Türkiye,Cereals: rice in the husk (paddy or rough)
1092077,2022,100,804,100610,1421.032,     2336.120,Bulgaria,Ukraine,Cereals: rice in the husk (paddy or rough)
